#-----------------------------------------------------------------------------
# Date d'extraction : 23/06/2026 - 11h37 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020_DISTRIBUTION
# Modele     : Q50
# Scenario :
#     RCP4.5 : Emissions modérées
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTX35 : Nombre de jours de fortes chaleur ( TX>35°C ) (jour(s))
#     NORTR : Nombre de nuits tropicales (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;NORTX35;NORTR;
#-----------------------------------------------------------------------------
2205;42.6341;1.6069;RCP4.5;H1;0;0;
2206;42.6347;1.7042;RCP4.5;H1;0;0;
2207;42.6353;1.8014;RCP4.5;H1;0;0;
2208;42.6357;1.8987;RCP4.5;H1;0;0;
2209;42.6361;1.996;RCP4.5;H1;0;0;
2210;42.6363;2.0933;RCP4.5;H1;0;0;
2211;42.6365;2.1906;RCP4.5;H1;0;0;
2212;42.6366;2.2879;RCP4.5;H1;0.01;3;
2213;42.6366;2.3852;RCP4.5;H1;0.63;13;
2214;42.6365;2.4825;RCP4.5;H1;1.44;31;
2215;42.6363;2.5798;RCP4.5;H1;1.42;34;
2216;42.6361;2.6771;RCP4.5;H1;2.43;39;
2217;42.6357;2.7744;RCP4.5;H1;2.54;59;
2218;42.6353;2.8717;RCP4.5;H1;3.27;64;
2219;42.6347;2.969;RCP4.5;H1;4.17;68;
2220;42.6341;3.0663;RCP4.5;H1;4.38;68;
2278;42.4462;8.6957;RCP4.5;H1;1.14;57;
2279;42.4404;8.7924;RCP4.5;H1;0.35;29;
2280;42.4344;8.889;RCP4.5;H1;0;4;
2281;42.4284;8.9856;RCP4.5;H1;0;3;
2282;42.4223;9.0822;RCP4.5;H1;0;7;
2283;42.4161;9.1788;RCP4.5;H1;3.57;25;
2284;42.4098;9.2753;RCP4.5;H1;0.67;23;
2285;42.4034;9.3719;RCP4.5;H1;1.27;25;
2286;42.397;9.4684;RCP4.5;H1;1.61;35;
2331;42.6817;-0.0495;RCP4.5;H1;0;0;
2332;42.6839;0.0479;RCP4.5;H1;0;0;
2333;42.6859;0.1452;RCP4.5;H1;0;0;
2334;42.6879;0.2426;RCP4.5;H1;0;0;
2335;42.6897;0.3399;RCP4.5;H1;0;0;
2336;42.6915;0.4373;RCP4.5;H1;0;0;
2337;42.6932;0.5346;RCP4.5;H1;0;0;
2338;42.6948;0.632;RCP4.5;H1;0;0;
2343;42.7015;1.1189;RCP4.5;H1;0;0;
2344;42.7026;1.2163;RCP4.5;H1;0;0;
2345;42.7036;1.3137;RCP4.5;H1;0;0;
2346;42.7044;1.4111;RCP4.5;H1;0;0;
2347;42.7052;1.5086;RCP4.5;H1;0;0;
2348;42.706;1.606;RCP4.5;H1;0;0;
2349;42.7066;1.7034;RCP4.5;H1;0;0;
2350;42.7071;1.8008;RCP4.5;H1;0.05;2;
2351;42.7076;1.8982;RCP4.5;H1;0;1;
2352;42.7079;1.9956;RCP4.5;H1;0;0;
2353;42.7082;2.093;RCP4.5;H1;0.01;2;
2354;42.7084;2.1905;RCP4.5;H1;0;1;
2355;42.7085;2.2879;RCP4.5;H1;0.05;2;
2356;42.7085;2.3853;RCP4.5;H1;0.07;7;
2357;42.7084;2.4827;RCP4.5;H1;0.9;13;
2358;42.7082;2.5801;RCP4.5;H1;2.31;24;
2359;42.7079;2.6775;RCP4.5;H1;4.12;38;
2360;42.7076;2.775;RCP4.5;H1;2.42;59;
2361;42.7071;2.8724;RCP4.5;H1;3.51;64;
2362;42.7066;2.9698;RCP4.5;H1;4.03;66;
2363;42.706;3.0672;RCP4.5;H1;4.38;68;
2421;42.5178;8.7036;RCP4.5;H1;1.14;57;
2422;42.512;8.8003;RCP4.5;H1;1.2;57;
2423;42.506;8.8971;RCP4.5;H1;0.01;22;
2424;42.5;8.9938;RCP4.5;H1;0;9;
2425;42.4939;9.0905;RCP4.5;H1;1.08;18;
2426;42.4877;9.1872;RCP4.5;H1;3.77;26;
2427;42.4814;9.2839;RCP4.5;H1;2.88;25;
2428;42.475;9.3805;RCP4.5;H1;1.13;32;
2429;42.4685;9.4772;RCP4.5;H1;1.02;58;
2430;42.4619;9.5738;RCP4.5;H1;0.53;81;
2473;42.7513;-0.1499;RCP4.5;H1;0;0;
2474;42.7535;-0.0524;RCP4.5;H1;0;0;
