#-----------------------------------------------------------------------------
# Date d'extraction : 23/06/2026 - 11h30 loc.
#-----------------------------------------------------------------------------
# Producteur : MF
# Experience : Explore2-HydroEau-Adamont-2024_distribution
# Modele     : Q50_SIM2
# Scenario :
#     RCP4.5 : Emissions modérées
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORSWIAV : Indicateur moyen d'humidité des sols
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;NORSWIAV;
#-----------------------------------------------------------------------------
2349;42.7066;1.7034;RCP4.5;H1;0.78;
2350;42.7071;1.8008;RCP4.5;H1;0.72;
2351;42.7076;1.8982;RCP4.5;H1;0.72;
2352;42.7079;1.9956;RCP4.5;H1;0.81;
2353;42.7082;2.093;RCP4.5;H1;0.64;
2354;42.7084;2.1905;RCP4.5;H1;0.78;
2355;42.7085;2.2879;RCP4.5;H1;0.75;
2356;42.7085;2.3853;RCP4.5;H1;0.63;
2357;42.7084;2.4827;RCP4.5;H1;0.58;
2358;42.7082;2.5801;RCP4.5;H1;0.5;
2359;42.7079;2.6775;RCP4.5;H1;0.45;
2360;42.7076;2.775;RCP4.5;H1;0.5;
2361;42.7071;2.8724;RCP4.5;H1;0.43;
2362;42.7066;2.9698;RCP4.5;H1;0.39;
2363;42.706;3.0672;RCP4.5;H1;0.38;
2421;42.5178;8.7036;RCP4.5;H1;0.47;
2422;42.512;8.8003;RCP4.5;H1;0.45;
2423;42.506;8.8971;RCP4.5;H1;0.58;
2424;42.5;8.9938;RCP4.5;H1;0.67;
2425;42.4939;9.0905;RCP4.5;H1;0.62;
2426;42.4877;9.1872;RCP4.5;H1;0.52;
2427;42.4814;9.2839;RCP4.5;H1;0.5;
2428;42.475;9.3805;RCP4.5;H1;0.59;
2429;42.4685;9.4772;RCP4.5;H1;0.53;
2430;42.4619;9.5738;RCP4.5;H1;0.48;
2473;42.7513;-0.1499;RCP4.5;H1;0.82;
2474;42.7535;-0.0524;RCP4.5;H1;0.8;
2475;42.7557;0.045;RCP4.5;H1;0.78;
2476;42.7577;0.1425;RCP4.5;H1;0.82;
2477;42.7597;0.24;RCP4.5;H1;0.84;
2478;42.7616;0.3374;RCP4.5;H1;0.82;
2479;42.7634;0.4349;RCP4.5;H1;0.75;
2480;42.765;0.5324;RCP4.5;H1;0.76;
2481;42.7667;0.6299;RCP4.5;H1;0.73;
2484;42.7709;0.9224;RCP4.5;H1;0.86;
2485;42.7722;1.0199;RCP4.5;H1;0.86;
2486;42.7733;1.1174;RCP4.5;H1;0.83;
2487;42.7744;1.2149;RCP4.5;H1;0.78;
2488;42.7754;1.3125;RCP4.5;H1;0.8;
2489;42.7763;1.41;RCP4.5;H1;0.87;
2490;42.7771;1.5075;RCP4.5;H1;0.72;
2491;42.7778;1.6051;RCP4.5;H1;0.69;
2492;42.7784;1.7026;RCP4.5;H1;0.66;
2493;42.779;1.8001;RCP4.5;H1;0.7;
2494;42.7794;1.8977;RCP4.5;H1;0.72;
2495;42.7798;1.9952;RCP4.5;H1;0.7;
2496;42.78;2.0927;RCP4.5;H1;0.69;
2497;42.7802;2.1903;RCP4.5;H1;0.67;
2498;42.7803;2.2878;RCP4.5;H1;0.67;
2499;42.7803;2.3854;RCP4.5;H1;0.56;
2500;42.7802;2.4829;RCP4.5;H1;0.49;
2501;42.78;2.5804;RCP4.5;H1;0.49;
2502;42.7798;2.678;RCP4.5;H1;0.5;
2503;42.7794;2.7755;RCP4.5;H1;0.5;
2504;42.779;2.873;RCP4.5;H1;0.52;
2505;42.7784;2.9706;RCP4.5;H1;0.42;
2506;42.7778;3.0681;RCP4.5;H1;0.42;
2564;42.5894;8.7114;RCP4.5;H1;0.49;
2565;42.5835;8.8083;RCP4.5;H1;0.47;
2566;42.5776;8.9052;RCP4.5;H1;0.49;
2567;42.5716;9.002;RCP4.5;H1;0.54;
2568;42.5654;9.0989;RCP4.5;H1;0.5;
2569;42.5592;9.1957;RCP4.5;H1;0.58;
2570;42.5529;9.2925;RCP4.5;H1;0.57;
2571;42.5465;9.3892;RCP4.5;H1;0.58;
2572;42.54;9.486;RCP4.5;H1;0.52;
2611;42.8106;-0.6407;RCP4.5;H1;0.86;
2612;42.8133;-0.5431;RCP4.5;H1;0.82;
2613;42.8159;-0.4456;RCP4.5;H1;0.84;
2614;42.8184;-0.3481;RCP4.5;H1;0.83;
2615;42.8208;-0.2505;RCP4.5;H1;0.84;
2616;42.8231;-0.1529;RCP4.5;H1;0.83;
2617;42.8254;-0.0554;RCP4.5;H1;0.81;
2618;42.8275;0.0422;RCP4.5;H1;0.76;
2619;42.8296;0.1398;RCP4.5;H1;0.79;
2620;42.8315;0.2374;RCP4.5;H1;0.76;
2621;42.8334;0.335;RCP4.5;H1;0.66;
2622;42.8352;0.4326;RCP4.5;H1;0.68;
2623;42.8369;0.5302;RCP4.5;H1;0.73;
2624;42.8385;0.6278;RCP4.5;H1;0.72;
2625;42.84;0.7254;RCP4.5;H1;0.71;
2626;42.8414;0.823;RCP4.5;H1;0.78;
2627;42.8428;0.9206;RCP4.5;H1;0.8;
2628;42.844;1.0183;RCP4.5;H1;0.77;
2629;42.8452;1.1159;RCP4.5;H1;0.82;
2630;42.8463;1.2136;RCP4.5;H1;0.77;
2631;42.8472;1.3112;RCP4.5;H1;0.79;
2632;42.8481;1.4088;RCP4.5;H1;0.83;
2633;42.8489;1.5065;RCP4.5;H1;0.72;
2634;42.8497;1.6041;RCP4.5;H1;0.63;
2635;42.8503;1.7018;RCP4.5;H1;0.7;
2636;42.8508;1.7995;RCP4.5;H1;0.72;
2637;42.8513;1.8971;RCP4.5;H1;0.67;
2638;42.8516;1.9948;RCP4.5;H1;0.63;
2639;42.8519;2.0924;RCP4.5;H1;0.63;
2640;42.8521;2.1901;RCP4.5;H1;0.58;
2641;42.8522;2.2877;RCP4.5;H1;0.6;
2642;42.8522;2.3854;RCP4.5;H1;0.61;
2643;42.8521;2.4831;RCP4.5;H1;0.58;
2644;42.8519;2.5807;RCP4.5;H1;0.55;
2645;42.8516;2.6784;RCP4.5;H1;0.54;
2646;42.8513;2.776;RCP4.5;H1;0.5;
2647;42.8508;2.8737;RCP4.5;H1;0.5;
2648;42.8503;2.9714;RCP4.5;H1;0.44;
2649;42.8497;3.069;RCP4.5;H1;0.42;
2709;42.6492;8.9133;RCP4.5;H1;0.45;
2710;42.6431;9.0103;RCP4.5;H1;0.43;
2711;42.637;9.1072;RCP4.5;H1;0.4;
2712;42.6308;9.2042;RCP4.5;H1;0.55;
2713;42.6245;9.3011;RCP4.5;H1;0.43;
2714;42.6181;9.398;RCP4.5;H1;0.54;
2715;42.6116;9.4948;RCP4.5;H1;0.54;
2753;42.8797;-0.742;RCP4.5;H1;0.86;
2754;42.8824;-0.6444;RCP4.5;H1;0.83;
2755;42.8851;-0.5467;RCP4.5;H1;0.84;
2756;42.8877;-0.4491;RCP4.5;H1;0.86;
2757;42.8902;-0.3514;RCP4.5;H1;0.85;
2758;42.8926;-0.2537;RCP4.5;H1;0.8;
2759;42.895;-0.156;RCP4.5;H1;0.77;
2760;42.8972;-0.0584;RCP4.5;H1;0.7;
2761;42.8993;0.0393;RCP4.5;H1;0.74;
2762;42.9014;0.137;RCP4.5;H1;0.78;
2763;42.9034;0.2348;RCP4.5;H1;0.75;
2764;42.9052;0.3325;RCP4.5;H1;0.66;
2765;42.907;0.4302;RCP4.5;H1;0.7;
2766;42.9087;0.5279;RCP4.5;H1;0.68;
2767;42.9103;0.6257;RCP4.5;H1;0.65;
2768;42.9118;0.7234;RCP4.5;H1;0.72;
2769;42.9133;0.8211;RCP4.5;H1;0.74;
2770;42.9146;0.9189;RCP4.5;H1;0.76;
2771;42.9159;1.0166;RCP4.5;H1;0.77;
2772;42.917;1.1144;RCP4.5;H1;0.76;
2773;42.9181;1.2122;RCP4.5;H1;0.72;
2774;42.9191;1.3099;RCP4.5;H1;0.77;
2775;42.92;1.4077;RCP4.5;H1;0.79;
2776;42.9208;1.5055;RCP4.5;H1;0.75;
2777;42.9215;1.6032;RCP4.5;H1;0.68;
2778;42.9221;1.701;RCP4.5;H1;0.68;
2779;42.9227;1.7988;RCP4.5;H1;0.65;
2780;42.9231;1.8966;RCP4.5;H1;0.63;
2781;42.9235;1.9943;RCP4.5;H1;0.6;
2782;42.9237;2.0921;RCP4.5;H1;0.59;
2783;42.9239;2.1899;RCP4.5;H1;0.54;
2784;42.924;2.2877;RCP4.5;H1;0.54;
2785;42.924;2.3855;RCP4.5;H1;0.61;
2786;42.9239;2.4833;RCP4.5;H1;0.61;
2787;42.9237;2.581;RCP4.5;H1;0.58;
2788;42.9235;2.6788;RCP4.5;H1;0.54;
2789;42.9231;2.7766;RCP4.5;H1;0.48;
2790;42.9227;2.8744;RCP4.5;H1;0.52;
